;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
09:22:23.403000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.404000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.405000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.406000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.407000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.408000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.409000;S2: Bearbeitung Heizen;100.200;99.940;0.000;0.000;0.000;0.000
09:22:23.410000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.411000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.412000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.413000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.414000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.415000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.416000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.417000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.418000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.419000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.420000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.421000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.422000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.423000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.424000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.425000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.426000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.427000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.428000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.429000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.430000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.431000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.432000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.433000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.434000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.435000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.436000;S2: Bearbeitung Heizen;100.220;99.940;0.000;0.000;0.000;0.000
09:22:23.437000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.438000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.439000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.440000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.441000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.442000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.443000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.444000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.445000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.446000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
09:22:23.447000;S2: Bearbeitung Heizen;100.220;99.930;0.000;0.000;0.000;0.000
